T50_d1;;T50_d0p5;
X;Y;X;Y
0.502437236;0.001377717;0.508015078;0.001293288
0.511793276;0.002033229;0.517686845;0.001743537
0.531862982;0.003001163;0.564319705;0.002743031
0.583978966;0.004554195;0.627244073;0.004051751
0.646998051;0.006546911;0.711690489;0.00582669
0.736801301;0.009415737;0.80694529;0.008156263
0.911745566;0.015959247;0.982142137;0.012859289
1.049949747;0.021757212;1.205708342;0.019392988
1.215127527;0.028106889;1.445692345;0.026483098
1.407089472;0.036325806;1.648494246;0.033016593
1.604566112;0.044875685;1.910284452;0.040463375
1.818207969;0.053967905;2.129472578;0.046094689
2.385053489;0.07211513;2.380927991;0.05067048
2.749065536;0.07799788;2.611050792;0.054189814
3.113235446;0.080629502;2.959118631;0.056512188
3.386433917;0.080995708;3.237610789;0.057810514
3.702550196;0.079961449;3.612652229;0.057128123
4.104312654;0.080496096;3.960846359;0.057459022
4.452538356;0.080233188;4.255503733;0.05722049
4.843555576;0.081489205;4.550097963;0.058023377
5.170322375;0.081932084;4.828653267;0.05829209
5.513128099;0.083148177;5.042863432;0.05956776
5.845283303;0.082854518;5.310705071;0.059832991
;;5.621464517;0.059063717
;;5.916121892;0.058818523
