X;Y
0.5130894010830405;0.8880297173985601
0.8539620539612529;0.991840992201143
1.2157821883012552;1.1030873237373002
1.5090469287663095;1.2010032045375296
1.867058430113259;1.3076106181897562
2.2136440324810502;1.3996706516236375
2.6383066112064215;1.5045962943417577
3.0629691899317923;1.5901103517306752
3.4324065902578997;1.6242797611941207
3.849451902997165;1.6662536534272947
4.205559087847588;1.6876456157307989
4.554049006711907;1.731256979299348
4.910156191562329;1.760955541953487
5.38623531569391;1.7759953277126892
5.797567678943597;1.7609555419534872
5.984190695603177;1.738634330544833
