X;Y
0.4938704576496925;0.02057143234433275
0.5316608684039656;0.026021097524625964
0.5694512791582388;0.03172777708079409
0.5983498285585653;0.03798220372535668
0.6405861699898119;0.04546955168528913
0.6917143727750049;0.05585012070436
0.736173679544738;0.06735254924793863
0.8317611890996642;0.09511658458957532
0.8940042185772904;0.11640321805676195
0.9984835894861632;0.16258597626244992
1.0585036536253027;0.1960708380776331
1.1140777870874694;0.23215038351588393
1.1763208165650956;0.2728578149962181
1.3074757715358083;0.3797167795806114
1.380833627705868;0.4479416906975901
1.5119885826765807;0.6031044564149434
1.6809339484015664;0.812014136887128
1.8543252448035255;1.0577482213594687
2.049946194590351;1.3330568719558427
2.2633508670850704;1.6373899553665017
2.496762227626169;1.903421630740653
2.754626206890621;2.1724228249310444
3.1125236263869724;2.470352963120222
3.47264401122181;2.7178239582950217
3.6971635104089624;2.871718645980583
3.955027489673414;3.0121253744420664
4.3062560131543055;3.159396998747316
4.64859267528125;3.3260598687642573
5.002044164100628;3.52732382577827
5.242124420657187;3.579514691929761
5.588907013461105;3.6324777827604087
5.840102096710097;3.6191639920018055
6.013493393112056;3.6324777827604087
