X;Y
0.5073661544912136;2.124813615751895
0.7036612396756963;2.294530294787444
0.8749939440852734;2.4363573080075343
1.0395187264653312;2.586950778451845
1.2709880754689986;2.788349100964764
1.5784792204689684;3.0622868722770855
1.9778773128674532;3.465518256621963
2.3296199510593003;3.756376332554378
2.5871863345094592;3.9292031551359714
2.961622046133039;4.156461094893803
3.4018676707086417;4.347695385768492
3.9408281647122783;4.58195052000067
4.435537165524038;4.765888306118592
5.019883806391139;4.9109719357750485
5.432897742848663;4.966509830781501
5.957107739121674;4.9851616855153615
6.020648344730524;5.003883587766868
