X;Y
0.49078388819586816;0.05438214565693959
0.5163561028122456;0.07581754398418401
0.5334042458898307;0.09497499664566457
0.5572716461984495;0.11730969035660274
0.5913679323536194;0.14861595692345214
0.627169032816548;0.1804895556108433
0.6783134620493028;0.22419331909850487
0.7158193768199896;0.2722759612943264
0.7942408349768804;0.35379183513765206
0.9186922794432506;0.48771846733835117
1.0653063099104811;0.6837991598445918
1.2426069979173646;0.9113265459678506
1.447184714848384;1.20774010984715
1.6619913176259546;1.5430287839988397
1.8563401487104232;1.8116934941033231
2.031936022409548;2.0622555467634145
2.135929695182816;2.206451333456936
2.27913409703453;2.3874715448444146
2.531446614582787;2.6422019752011034
2.7445484030525993;2.8429149986916253
2.9320779769060334;2.9739371752421966
3.2082578947629097;3.1373913065885
3.4997811413896125;3.2635525824427036
3.743569587399077;3.3662282164098705
4.031683205410262;3.4332428069190923
4.255013879726626;3.5114660698635562
4.541422683430053;3.6219413864915415
4.805668901132619;3.7044639720989396
5.0733247474507035;3.831786576237964
5.429630937772229;3.941225268370752
5.692172341167037;3.9634852643791114
5.872882657789438;3.9634852643791127
6.021201502564427;3.9858709845946807
