DH0_2p0,,DH0_1p5,,DH0_1p0,,DH0_0p5,
X,Y,X,Y,X,Y,X,Y
0.5250000000000001,0.18978034488067536,0.5142857142857145,0.10461194596045327,0.5196428571428573,0.0028677213247751267,0.5196428571428573,0.0028677213247751267
0.6910714285714288,0.197813604969611,0.7178571428571427,0.11531785397538345,0.5571428571428574,0.004510878023886334,0.5625000000000002,0.004370112436213381
0.8732142857142857,0.20622199093805246,0.9000000000000001,0.12608546505335336,0.594642857142857,0.005681113913764374,0.6321428571428571,0.006056087177661083
0.985714285714286,0.2097726035874834,1.0660714285714288,0.13459061522438606,0.6321428571428571,0.006931269860211858,0.7125000000000001,0.00806676689598407
1.1571428571428573,0.21866452200833023,1.2750000000000001,0.1460353944583061,0.6910714285714288,0.008800999973907788,0.825,0.01109552313387714
1.2857142857142858,0.22424062009561507,1.4785714285714284,0.15594817457652396,0.7714285714285716,0.011723017380422718,0.9642857142857146,0.014788567514778266
1.4625000000000001,0.23007631938050627,1.6500000000000001,0.1638544075634861,0.8785714285714288,0.015011654882154396,1.1142857142857145,0.019096799620095934
1.6392857142857145,0.2379456844367209,1.8696428571428572,0.17500650317034255,0.9803571428571429,0.0184736080105506,1.2750000000000001,0.023515525037609352
1.8160714285714283,0.24804588104520617,2.057142857142857,0.18101283054487208,1.1571428571428573,0.025427025963644805,1.4785714285714284,0.02896982106894771
2.1107142857142858,0.25685013773874354,2.2821428571428575,0.19334371062780217,1.323214285714286,0.030818942601781786,1.7035714285714285,0.03485705088312973
2.3464285714285715,0.2658010243147897,2.491071428571429,0.2016192615223537,1.4732142857142858,0.03675948837149881,1.9017857142857142,0.039978146957577974
2.5339285714285715,0.2727492385382316,2.7267857142857146,0.20699535079891868,1.698214285714286,0.04493769967235434,2.126785714285714,0.04550190261907003
2.7749999999999995,0.28003785908296147,3.005357142857143,0.21430607522871373,1.9982142857142862,0.05541729459019492,2.3625,0.04977878990894644
2.946428571428571,0.28278293777877933,3.2142857142857144,0.219958070569578,2.2660714285714283,0.06462403762377503,2.5982142857142856,0.054026998089590175
3.1392857142857142,0.28561971228629013,3.4767857142857146,0.22768787374800098,2.55,0.07186659911829248,2.8982142857142863,0.058677676222645594
3.369642857142857,0.29090008112715987,3.7232142857142865,0.22828265053966595,2.941071428571428,0.08001155472146929,3.1660714285714286,0.06220744503959778
3.6696428571428577,0.2964965910340747,3.942857142857143,0.23063809087212117,3.2357142857142858,0.0855251010642087,3.4607142857142863,0.06596825183225602
3.9107142857142865,0.30201229985547867,4.205357142857142,0.2368551099047743,3.4821428571428577,0.08781555057754037,3.7178571428571425,0.06828264644742474
4.146428571428571,0.30518040866460683,4.419642857142858,0.23928543042265724,3.7874999999999996,0.09239852206332529,3.948214285714286,0.07009939757519836
4.446428571428571,0.3061511961521276,4.703571428571429,0.24191898446989893,4.178571428571429,0.09653936402923187,4.2,0.07255461210942796
4.917857142857143,0.31260793671239584,4.9125000000000005,0.244387403780389,4.580357142857142,0.10168136772310782,4.521428571428571,0.07455687296659147
5.442857142857143,0.3168560974772065,5.223214285714286,0.2451926170956967,5.025,0.10545782686764779,4.789285714285714,0.07596538855412484
5.737500000000001,0.31533231044853144,5.523214285714285,0.24793336534081492,5.2821428571428575,0.1074379308044537,5.1375,0.07808391434086454
,,5.8446428571428575,0.24681101157440455,5.539285714285714,0.10858958599137698,5.496428571428571,0.07963580498009529
,,5.967857142857143,0.24910320217398424,5.737500000000001,0.10881769125201589,5.726785714285714,0.07983024969770063
,,,,,,5.941071428571429,0.08001155472146929
